FUSION EVENT,INTERACTION AFFECTED,GENE 1 NAME, GENE 1 SWISSPROT, GENE 1 PDB SET,GENE 2 NAME, GENE 2 SWISSPROT, GENE 2 PDB SET,Interactome3D Result
F NAB2-STAT6,I STAT6-UBC,STAT6,P42226,1OJ5,UBC,P0CG48,1C3T~1CMX~1D3Z~1F9J~1FXT~1G6J~1GJZ~1NBF~1OGW~1Q5W~1S1Q~1SIF~1TBE~1UBI~1UBQ~1UD7~1XD3~1XQQ~1YX5~1YX6~1ZGU~1ZO6~2AYO~2BGF~2DEN~2FUH~2G45~2GBJ~2GBK~2GBM~2GBN~2GBR~2GMI~2HTH~2IBI~2J7Q~2JF5~2JRI~2JY6~2JZZ~2K25~2K6D~2K8B~2K8C~2KDF~2KHW~2KJH~2KLG~2KN5~2KX0~2L3Z~2LD9~2LVO~2LVP~2LVQ~2LZ6~2MBO~2MBQ~2MCN~2MI8~2MJ5~2MOR~2MRE~2MWS~2N2K~2NR2~2O6V~2OJR~2PE9~2PEA~2RR9~2RU6~2W9N~2WDT~2XEW~2Y5B~2Z59~2ZCB~2ZVN~2ZVO~3A33~3ALB~3AUL~3B08~3B0A~3BY4~3C0R~3DVG~3DVN~3EEC~3EFU~3EHV~3H7P~3H7S~3HM3~3I3T~3IFW~3IHP~3JSV~3JVZ~3JW0~3K9O~3K9P~3KVF~3KW5~3LDZ~3MHS~3MTN~3N30~3N32~3N3K~3NS8~3O65~3OFI~3OJ3~3OJ4~3ONS~3PRM~3PT2~3PTF~3Q3F~3RUL~3TMP~3U30~3UGB~3V6C~3V6E~3VFK~3VUW~3VUX~3VUY~3WXE~3WXF~3ZLZ~3ZNH~3ZNI~3ZNZ~4AUQ~4BOS~4BOZ~4BVU~4DDG~4DDI~4DHJ~4DHZ~4FJV~4HK2~4HXD~4I6L~4I6N~4IG7~4IUM~4JQW~4K1R~4K7S~4K7U~4K7W~4KSK~4KSL~4LCD~4LDT~4MDK~4MM3~4MSM~4MSQ~4NQK~4UN2~4V3K~4V3L~4WZP~4XOK~4XOL~5A5B~5AF4~5AF5~5AF6~5AIT~5AIU,No Interaction Reported by Interactome3D~
F IL6R-ATP8B2,I IL6R-VAV1,IL6R,P08887,1N26~1N2Q~1P9M~2ARW,VAV1,P15498,2CRH~2LCT~2MC1~2ROR~3BJI~3KY9,No Interaction Reported by Interactome3D~
F SLC45A3-ETV5,I ETV5-TAF1,ETV5,P41161,4UNO,TAF1,P21675,1EQF~3AAD~3UV4~3UV5~4RGW~4YYM~4YYN,No Interaction Reported by Interactome3D~
F KMT2A-CASC5,I CASC5-ZWILCH,CASC5,Q8NG31,3SI5~4A1G~4NF9~4NFA,ZWILCH,Q9H900,3IF8,No Interaction Reported by Interactome3D~
F TCF3-PBX1,I TCF3-TWIST1,TCF3,P15923,1HLH~2MH0~2YPA~2YPB~3U5V,TWIST1,Q15672,2MJV,Interaction Reported by Interactome3D~http://interactome3d.irbbarcelona.org/api/getInteractionStructures?queryProt1=P15923&queryProt2=Q15672
F NACC2-NTRK2,I NTRK2-UBC,NTRK2,Q16620,1HCF~1WWB~2MFQ~4ASZ~4AT3~4AT4~4AT5,UBC,P0CG48,1C3T~1CMX~1D3Z~1F9J~1FXT~1G6J~1GJZ~1NBF~1OGW~1Q5W~1S1Q~1SIF~1TBE~1UBI~1UBQ~1UD7~1XD3~1XQQ~1YX5~1YX6~1ZGU~1ZO6~2AYO~2BGF~2DEN~2FUH~2G45~2GBJ~2GBK~2GBM~2GBN~2GBR~2GMI~2HTH~2IBI~2J7Q~2JF5~2JRI~2JY6~2JZZ~2K25~2K6D~2K8B~2K8C~2KDF~2KHW~2KJH~2KLG~2KN5~2KX0~2L3Z~2LD9~2LVO~2LVP~2LVQ~2LZ6~2MBO~2MBQ~2MCN~2MI8~2MJ5~2MOR~2MRE~2MWS~2N2K~2NR2~2O6V~2OJR~2PE9~2PEA~2RR9~2RU6~2W9N~2WDT~2XEW~2Y5B~2Z59~2ZCB~2ZVN~2ZVO~3A33~3ALB~3AUL~3B08~3B0A~3BY4~3C0R~3DVG~3DVN~3EEC~3EFU~3EHV~3H7P~3H7S~3HM3~3I3T~3IFW~3IHP~3JSV~3JVZ~3JW0~3K9O~3K9P~3KVF~3KW5~3LDZ~3MHS~3MTN~3N30~3N32~3N3K~3NS8~3O65~3OFI~3OJ3~3OJ4~3ONS~3PRM~3PT2~3PTF~3Q3F~3RUL~3TMP~3U30~3UGB~3V6C~3V6E~3VFK~3VUW~3VUX~3VUY~3WXE~3WXF~3ZLZ~3ZNH~3ZNI~3ZNZ~4AUQ~4BOS~4BOZ~4BVU~4DDG~4DDI~4DHJ~4DHZ~4FJV~4HK2~4HXD~4I6L~4I6N~4IG7~4IUM~4JQW~4K1R~4K7S~4K7U~4K7W~4KSK~4KSL~4LCD~4LDT~4MDK~4MM3~4MSM~4MSQ~4NQK~4UN2~4V3K~4V3L~4WZP~4XOK~4XOL~5A5B~5AF4~5AF5~5AF6~5AIT~5AIU,No Interaction Reported by Interactome3D~
F NPM1-ALK,I NPM1-UBC,NPM1,P06748,2LLH~2P1B~2VXD,UBC,P0CG48,1C3T~1CMX~1D3Z~1F9J~1FXT~1G6J~1GJZ~1NBF~1OGW~1Q5W~1S1Q~1SIF~1TBE~1UBI~1UBQ~1UD7~1XD3~1XQQ~1YX5~1YX6~1ZGU~1ZO6~2AYO~2BGF~2DEN~2FUH~2G45~2GBJ~2GBK~2GBM~2GBN~2GBR~2GMI~2HTH~2IBI~2J7Q~2JF5~2JRI~2JY6~2JZZ~2K25~2K6D~2K8B~2K8C~2KDF~2KHW~2KJH~2KLG~2KN5~2KX0~2L3Z~2LD9~2LVO~2LVP~2LVQ~2LZ6~2MBO~2MBQ~2MCN~2MI8~2MJ5~2MOR~2MRE~2MWS~2N2K~2NR2~2O6V~2OJR~2PE9~2PEA~2RR9~2RU6~2W9N~2WDT~2XEW~2Y5B~2Z59~2ZCB~2ZVN~2ZVO~3A33~3ALB~3AUL~3B08~3B0A~3BY4~3C0R~3DVG~3DVN~3EEC~3EFU~3EHV~3H7P~3H7S~3HM3~3I3T~3IFW~3IHP~3JSV~3JVZ~3JW0~3K9O~3K9P~3KVF~3KW5~3LDZ~3MHS~3MTN~3N30~3N32~3N3K~3NS8~3O65~3OFI~3OJ3~3OJ4~3ONS~3PRM~3PT2~3PTF~3Q3F~3RUL~3TMP~3U30~3UGB~3V6C~3V6E~3VFK~3VUW~3VUX~3VUY~3WXE~3WXF~3ZLZ~3ZNH~3ZNI~3ZNZ~4AUQ~4BOS~4BOZ~4BVU~4DDG~4DDI~4DHJ~4DHZ~4FJV~4HK2~4HXD~4I6L~4I6N~4IG7~4IUM~4JQW~4K1R~4K7S~4K7U~4K7W~4KSK~4KSL~4LCD~4LDT~4MDK~4MM3~4MSM~4MSQ~4NQK~4UN2~4V3K~4V3L~4WZP~4XOK~4XOL~5A5B~5AF4~5AF5~5AF6~5AIT~5AIU,No Interaction Reported by Interactome3D~
F NTN1-ACLY,I NTN1-YES1,NTN1,O95631,4URT,YES1,P07947,2HDA,No Interaction Reported by Interactome3D~
F RANBP2-ALK,I RANBP2-ZWILCH,RANBP2,P49792,1RRP~1XKE~1Z5S~3UIN~3UIO~3UIP~4GA0~4I9Y~4L6E~4LQW~5CLL~5CLQ,ZWILCH,Q9H900,3IF8,No Interaction Reported by Interactome3D~
F GATM-BRAF,I GATM-GATM,GATM,P05181,1JDW~1JDX~2JDW~2JDX~3JDW~4JDW~5JDW~6JDW~7JDW~8JDW~9JDW,GATM,P50440,1JDW~1JDX~2JDW~2JDX~3JDW~4JDW~5JDW~6JDW~7JDW~8JDW~9JDW,No Interaction Reported by Interactome3D~
F SEC16A-NOTCH1,I NOTCH1-YY1,NOTCH1,P46531,1PB5~1TOZ~1YYH~2F8X~2F8Y~2HE0~2VJ3~3ETO~3I08~3L95~3NBN~3V79~4CUD~4CUE~4CUF~4D0E~4D0F,YY1,P25490,1UBD~1ZNM~4C5I,No Interaction Reported by Interactome3D~
F MYO5A-ROS1,I MYO5A-YWHAZ,MYO5A,Q9Y4I1,4D07~4J5L~4LLI~4LX1~4LX2,YWHAZ,P63104,1IB1~1QJA~1QJB~2C1J~2C1N~2O02~2WH0~3CU8~3NKX~3RDH~4BG6~4FJ3~4HKC~4IHL~4N7G~4N7Y~4N84~4WRQ~4ZDR,No Interaction Reported by Interactome3D~
F HACL1-RAF1,I RAF1-YWHAZ,RAF1,P04049,1C1Y~1FAQ~1FAR~1GUA~1RFA~3CU8~3IQJ~3IQU~3IQV~3KUC~3KUD~3NKX~3O8I~3OMV~4FJ3~4G0N~4G3X~4IEA~4IHL,YWHAZ,P63104,1IB1~1QJA~1QJB~2C1J~2C1N~2O02~2WH0~3CU8~3NKX~3RDH~4BG6~4FJ3~4HKC~4IHL~4N7G~4N7Y~4N84~4WRQ~4ZDR,Interaction Reported by Interactome3D~http://interactome3d.irbbarcelona.org/api/getInteractionStructures?queryProt1=P04049&queryProt2=P63104
F DDX5-ETV4,I DDX5-YY1,DDX5,P17844,3FE2~4A4D,YY1,P25490,1UBD~1ZNM~4C5I,No Interaction Reported by Interactome3D~
F KMT2A-FOXO3,I FOXO3-YWHAZ,FOXO3,O43524,2K86~2LQH~2LQI~2UZK,YWHAZ,P63104,1IB1~1QJA~1QJB~2C1J~2C1N~2O02~2WH0~3CU8~3NKX~3RDH~4BG6~4FJ3~4HKC~4IHL~4N7G~4N7Y~4N84~4WRQ~4ZDR,No Interaction Reported by Interactome3D~
F SQSTM1-ALK,I SQSTM1-WDFY3,SQSTM1,Q13501,1Q02~2JY7~2JY8~2K0B~2KNV~4MJS~4UF8~4UF9,WDFY3,Q8IZQ1,3WIM,No Interaction Reported by Interactome3D~
F ATIC-ALK,I ATIC-YWHAE,ATIC,P31939,1P4R~1PKX~1PL0,YWHAE,P62258,2BR9~3UAL~3UBW,No Interaction Reported by Interactome3D~
